State,14-Day,,14-Day,Positivity Rate,14-Day,14-Day,14-Day,Daily Cases,Current,Daily Deaths,Date Stay at
,Percent,,Percent,(7-Day Rolling,Percent,Percent,Percent,(7-Day Rolling,Hospitalizations,(7-Day Rolling,Home Order
,Change in,,Change in,Average),Change in,Change in,Change in,Average),(7-Day Rolling,Average),Lifted
,Cases,,Positivity,,Current,Deaths,Tests,,Average),,
,,,Rate,,Hospitalizations,,,,,,
Alabama,6%,,-4%,13%,21%,-1%,10%,774,11,667,4/30/2020
Arizona,145%,,53%,24%,75%,75%,60%,"3,047",35,"2,318",5/16/2020
California,70%,,29%,6%,21%,-11%,45%,"5,250",60,"5,454",Still in place
Colorado,57%,,28%,5%,-16%,-59%,12%,252,4,243,4/27/2020
Delaware,40%,,58%,4%,-18%,200%,-11%,64,10,85,6/1/2020
Florida,277%,,157%,16%,N/A,12%,47%,"6,255",37,N/A,5/4/2020
Georgia,116%,,61%,12%,37%,-50%,34%,"1,787",19,"1,130",5/1/2020
Hawaii,60%,,14%,1%,N/A,N/A,22%,12,0,N/A,Still in place
Idaho,407%,,162%,10%,N/A,-50%,93%,188,0,N/A,5/1/2020
Iowa,16%,,5%,7%,-39%,-57%,6%,365,3,143,-*
Kansas,146%,,73%,7%,N/A,0%,30%,244,2,N/A,5/4/2020
Kentucky,28%,,41%,4%,-23%,10%,-10%,212,5,371,-*
Louisiana,70%,,50%,8%,20%,21%,13%,923,13,668,5/15/2020
Michigan,106%,,65%,2%,-14%,-25%,25%,319,10,557,6/1/2020
Mississippi,134%,,-36%,13%,11%,37%,263%,750,14,725,4/27/2020
Missouri,97%,,72%,6%,-6%,11%,19%,319,6,542,5/4/2020
Montana,161%,,148%,1%,134%,100%,5%,21,0,14,4/26/2020
Nevada,156%,,250%,15%,32%,-48%,-26%,560,2,450,5/29/2020
New Mexico,59%,,30%,4%,-26%,-41%,-1%,178,3,135,5/22/2020
Ohio,106%,,40%,5%,5%,-41%,47%,786,15,597,5/20/2020
Oklahoma,125%,,53%,6%,85%,33%,50%,347,2,282,5/12/2020
Oregon,44%,,197%,10%,21%,-8%,-17%,201,2,164,Still in place
Pennsylvania,19%,,7%,4%,-28%,-33%,36%,561,26,693,5/8/2020
South Carolina,92%,,10%,15%,67%,17%,73%,"1,237",9,862,5/4/2020
Tennessee,32%,,132%,8%,N/A,4%,-46%,724,8,463,4/29/2020
Texas,184%,,126%,15%,123%,48%,27%,"5,315",30,"4,722",4/30/2020
Utah,62%,,50%,11%,19%,-50%,8%,520,1,243,5/1/2020
Washington,46%,,90%,5%,17%,-33%,0%,439,6,261,5/31/2020
West Virginia,105%,,130%,2%,-5%,0%,-18%,43,1,27,5/4/2020
Wisconsin,52%,,66%,5%,-32%,-28%,-12%,418,5,246,5/13/2020
Wyoming,95%,,88%,5%,0%,N/A,4%,31,0,6,-*
